"1","Can add log entry","1","add_logentry"
"2","Can change log entry","1","change_logentry"
"3","Can delete log entry","1","delete_logentry"
"4","Can add permission","2","add_permission"
"5","Can change permission","2","change_permission"
"6","Can delete permission","2","delete_permission"
"7","Can add group","3","add_group"
"8","Can change group","3","change_group"
"9","Can delete group","3","delete_group"
"10","Can add user","4","add_user"
"11","Can change user","4","change_user"
"12","Can delete user","4","delete_user"
"13","Can add content type","5","add_contenttype"
"14","Can change content type","5","change_contenttype"
"15","Can delete content type","5","delete_contenttype"
"16","Can add session","6","add_session"
"17","Can change session","6","change_session"
"18","Can delete session","6","delete_session"
"19","Can add project_info","7","add_project_info"
"20","Can change project_info","7","change_project_info"
"21","Can delete project_info","7","delete_project_info"
"31","Can add threats","11","add_threats"
"32","Can change threats","11","change_threats"
"33","Can delete threats","11","delete_threats"
"34","Can add collab_party","12","add_collab_party"
"35","Can change collab_party","12","change_collab_party"
"36","Can delete collab_party","12","delete_collab_party"
"37","Can add documentation","13","add_documentation"
"38","Can change documentation","13","change_documentation"
"39","Can delete documentation","13","delete_documentation"
"40","Can add implementation_info","14","add_implementation_info"
"41","Can change implementation_info","14","change_implementation_info"
"42","Can delete implementation_info","14","delete_implementation_info"
"46","Can add documentation_values","16","add_documentation_values"
"47","Can change documentation_values","16","change_documentation_values"
"48","Can delete documentation_values","16","delete_documentation_values"
"49","Can add activity_plan_values","17","add_activity_plan_values"
"50","Can change activity_plan_values","17","change_activity_plan_values"
"51","Can delete activity_plan_values","17","delete_activity_plan_values"
"55","Can add threat_values","19","add_threat_values"
"56","Can change threat_values","19","change_threat_values"
"57","Can delete threat_values","19","delete_threat_values"
"58","Can add wafwa_zone_values","20","add_wafwa_zone_values"
"59","Can change wafwa_zone_values","20","change_wafwa_zone_values"
"60","Can delete wafwa_zone_values","20","delete_wafwa_zone_values"
"61","Can add population_values","21","add_population_values"
"62","Can change population_values","21","change_population_values"
"63","Can delete population_values","21","delete_population_values"
"70","Can add ownership_values","24","add_ownership_values"
"71","Can change ownership_values","24","change_ownership_values"
"72","Can delete ownership_values","24","delete_ownership_values"
"73","Can add imp_party_values","25","add_imp_party_values"
"74","Can change imp_party_values","25","change_imp_party_values"
"75","Can delete imp_party_values","25","delete_imp_party_values"
"76","Can add state_county_huc12_values","26","add_state_county_huc12_values"
"77","Can change state_county_huc12_values","26","change_state_county_huc12_values"
"78","Can delete state_county_huc12_values","26","delete_state_county_huc12_values"
"82","Can add registration profile","28","add_registrationprofile"
"83","Can change registration profile","28","change_registrationprofile"
"84","Can delete registration profile","28","delete_registrationprofile"
"91","Can add userprofile","31","add_userprofile"
"92","Can change userprofile","31","change_userprofile"
"93","Can delete userprofile","31","delete_userprofile"
"94","Can add usergroups","32","add_usergroups"
"95","Can change usergroups","32","change_usergroups"
"96","Can delete usergroups","32","delete_usergroups"
"97","Can add groups","33","add_groups"
"98","Can change groups","33","change_groups"
"99","Can delete groups","33","delete_groups"
"100","Can add state","34","add_state"
"101","Can change state","34","change_state"
"102","Can delete state","34","delete_state"
"103","Can add county","35","add_county"
"104","Can change county","35","change_county"
"105","Can delete county","35","delete_county"
